epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2842,1.08997,1.19369,1.48682,0.00915,0.72381,0.00816,0.00555,1.16664,inf,2.32392,0.000659091,0.000659091,0.000659091
2,47.6114,1.1189,1.00431,1.45119,0.04586,0.01429,0.00104,0.00041,4.56925,4.52742,6.08187,0.00131768,0.00131768,0.00131768
3,70.82,1.14641,0.96732,1.45751,0.34721,0.42857,0.32047,0.14168,1.77642,4.99592,2.55001,0.00194415,0.00194415,0.00194415
4,91.9733,1.13098,0.96658,1.45029,0.88636,0.76667,0.86082,0.59862,1.11303,1.39091,1.69046,0.0018921,0.0018921,0.0018921
5,113.079,1.0804,0.85554,1.41687,0.86034,0.53333,0.64479,0.44961,1.21529,1.32784,1.72435,0.00181093,0.00181093,0.00181093
6,134.03,1.02233,0.78139,1.3667,0.97479,0.85238,0.91018,0.64501,1.05751,0.76985,1.62299,0.00171004,0.00171004,0.00171004
7,159.61,1.01547,0.7925,1.36033,0.96468,0.87143,0.92542,0.64353,1.07787,0.75037,1.64879,0.00159191,0.00159191,0.00159191
8,180.686,0.95986,0.72314,1.30529,0.98929,0.88009,0.91724,0.69938,0.93594,0.6208,1.48528,0.00145945,0.00145945,0.00145945
9,201.796,0.91514,0.67343,1.2858,0.94847,0.87646,0.92514,0.7253,0.867,0.57628,1.39005,0.00131593,0.00131593,0.00131593
10,222.921,0.89804,0.61654,1.28939,0.98737,0.8619,0.92735,0.71881,0.88389,0.57026,1.41551,0.00116487,0.00116487,0.00116487
11,273.171,0.84553,0.5734,1.36692,0.92961,0.88039,0.92898,0.7103,0.84316,0.61881,1.37734,0.00101,0.00101,0.00101
12,294.174,0.78422,0.53947,1.31342,0.9594,0.86667,0.91747,0.71209,0.88728,0.56242,1.40326,0.00085513,0.00085513,0.00085513
13,315.175,0.77601,0.50795,1.2947,0.9789,0.88351,0.92894,0.73923,0.81601,0.52982,1.34488,0.000704073,0.000704073,0.000704073
14,336.266,0.74601,0.49041,1.27311,0.96898,0.89258,0.93059,0.73298,0.80991,0.52191,1.34264,0.000560549,0.000560549,0.000560549
15,357.171,0.73275,0.46546,1.24391,0.97426,0.89048,0.93604,0.74725,0.78144,0.47616,1.31337,0.000428093,0.000428093,0.000428093
16,378.296,0.6998,0.43431,1.22827,0.99426,0.89524,0.94223,0.76548,0.75624,0.44586,1.29526,0.000309964,0.000309964,0.000309964
17,402.108,0.66802,0.40568,1.19891,0.97925,0.89913,0.93461,0.75818,0.73991,0.45856,1.27843,0.000209073,0.000209073,0.000209073
18,423.252,0.6562,0.40123,1.20326,0.97828,0.91429,0.93956,0.76611,0.74669,0.43781,1.28023,0.000127904,0.000127904,0.000127904
19,444.577,0.64786,0.38945,1.17189,0.98612,0.90476,0.94194,0.77303,0.7352,0.4258,1.26307,6.8454e-05,6.8454e-05,6.8454e-05
20,465.647,0.63771,0.37983,1.16614,0.98964,0.90945,0.9418,0.77207,0.73417,0.42513,1.26073,3.21885e-05,3.21885e-05,3.21885e-05
